date,symbol,series,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_rs,no_of_trades,deliverable_qty,pct_dly_qt_to_traded_qty,daily_return_pct,log_return,rolling_volatility_20,rolling_avg_20,rolling_avg_50
2025-09-18,NIFTYBEES,EQ,285.98,286.98,287.54,285.01,286.6,286.7,286.6,"42,22,056","1,21,00,41,703.95","29,488","29,20,845",69.18,0.252,0.002514494584622907,0.00469543918891006,281.09250000000003,280.7756
2025-09-19,NIFTYBEES,EQ,286.7,295.3,295.3,285.3,286.0,285.9,285.76,"37,26,008","1,06,47,61,133.62","38,306","25,02,126",67.15,-0.279,-0.0027942735610580233,0.004750953665211724,281.2215,280.7548
2025-09-22,NIFTYBEES,EQ,285.9,285.48,285.79,284.11,284.45,284.49,285.12,"30,43,743","86,78,34,743.21","45,691","19,44,350",63.88,-0.493,-0.00494399576452023,0.0044861377187859035,281.4145,280.74739999999997
2025-09-23,NIFTYBEES,EQ,284.49,285.39,285.39,283.01,284.55,284.35,284.14,"43,75,351","1,24,31,91,705.12","34,315","24,78,458",56.65,-0.049,-0.0004922298109370089,0.004448505300520928,281.5375,280.7572
2025-09-24,NIFTYBEES,EQ,284.35,282.01,284.81,282.01,282.95,282.88,283.22,"42,65,674","1,20,81,03,297.38","39,355","27,79,090",65.15,-0.517,-0.0051830943035301264,0.004039415483380033,281.7155,280.77459999999996
2025-09-25,NIFTYBEES,EQ,282.88,283.69,283.69,281.01,281.37,281.24,282.0,"30,36,126","85,61,96,754.44","39,339","18,69,299",61.57,-0.58,-0.00581438211831801,0.003859606187499481,281.9475,280.7434
2025-09-26,NIFTYBEES,EQ,281.24,281.69,281.69,278.49,278.89,278.74,279.37,"55,97,250","1,56,37,26,326.46","58,738","44,61,285",79.7,-0.889,-0.008928949639597018,0.004353573498090723,282.071,280.6632
2025-09-29,NIFTYBEES,EQ,278.74,279.99,280.25,278.19,279.26,278.54,279.11,"42,01,038","1,17,25,40,616.52","47,426","26,17,820",62.31,-0.072,-0.0007177720664175899,0.004017672304587684,282.148,280.57939999999996
2025-09-30,NIFTYBEES,EQ,278.54,279.99,279.99,277.25,277.9,277.52,277.95,"90,51,079","2,51,57,77,306.91","60,063","78,01,477",86.19,-0.366,-0.0036686729634517285,0.004084514090205774,282.1235,280.5066
2025-10-01,NIFTYBEES,EQ,277.52,276.66,280.63,270.58,280.6,280.51,279.39,"49,24,597","1,37,58,78,358.98","48,979","31,79,136",64.56,1.077,0.010716372289674274,0.004643995818427729,282.1935,280.4564
2025-10-03,NIFTYBEES,EQ,280.51,280.89,281.31,279.08,281.3,281.16,280.48,"48,67,050","1,36,51,08,768.08","51,365","32,56,039",66.9,0.232,0.002314527356536092,0.004660531634242181,282.2035,280.421
2025-10-06,NIFTYBEES,EQ,281.16,281.58,283.2,280.7,283.2,283.07,282.0,"55,11,685","1,55,42,75,916.74","87,994","34,88,410",63.29,0.679,0.006770314572930415,0.004877837678897602,282.3475,280.3982
2025-10-07,NIFTYBEES,EQ,283.07,283.49,284.5,282.64,283.67,283.41,283.78,"62,04,149","1,76,05,99,207.56","42,586","35,58,576",57.36,0.12,0.001200395568517536,0.004876406870072381,282.5245,280.42400000000004
2025-10-08,NIFTYBEES,EQ,283.41,283.75,284.18,282.01,282.48,282.38,283.01,"56,58,365","1,60,14,00,305.28","44,809","35,01,795",61.89,-0.363,-0.0036409308677737323,0.00495477328456733,282.6505,280.4778
2025-10-09,NIFTYBEES,EQ,282.38,282.88,284.24,282.24,284.0,284.05,283.47,"39,85,452","1,12,97,53,013.96","33,929","27,03,635",67.84,0.591,0.005896597421756889,0.005020631044353717,282.72799999999995,280.5632
2025-10-10,NIFTYBEES,EQ,284.05,284.78,285.95,282.01,285.59,285.52,285.45,"39,12,389","1,11,67,80,192.55","39,842","27,92,635",71.38,0.518,0.005161800178768873,0.005115005166307198,282.88700000000006,280.6926
